Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp
-2.49653697,21.6763382,0.12681596,4,8,35343,21.82,874499108,874499108
-0.051831692,2.249403,0,24,9,35868,2.25,874499111,874499111
0.432162881,6.164754868,-0.037848309,10,10,401,6.18,874499114,874499114
0.654576719,4.037014008,-0.046334341,2,11,921,4.09,874499117,874499117
-2.543758631,22.67811966,0.664136887,4,12,35360,22.83,874499120,874499120
-0.045150753,2.268952847,0.052098338,19,13,35886,2.27,874499123,874499123
0.443217486,6.153084278,0.109608643,15,14,412,6.17,874499126,874499126
0.644510508,3.927194834,0.04633151,3,15,932,3.98,874499129,874499129
-0.52310276,4.500405788,-0.290367246,2,20,35337,4.54,874499096,874499096
-0.054594763,2.233876467,-0.1562545,3,21,35860,2.24,874499099,874499099
0.39837864,2.489943743,-0.205852106,2,23,909,2.53,874499105,874499105
-2.403123379,20.64335442,-0.846711397,5,24,35336,20.8,874499108,874499108
-0.052925348,2.296865463,-0.107739352,7,25,35868,2.3,874499111,874499111
0.419309527,6.057171345,-0.318202615,15,26,396,6.08,874499114,874499114
0.638940036,4.002454281,-0.236044422,4,27,907,4.06,874499117,874499117
-2.436284542,22.03233337,-0.386919856,5,28,35369,22.17,874499120,874499120
-0.041427519,2.239010572,-0.052109431,3,29,35894,2.24,874499123,874499123
0.45530656,6.170605183,-0.180070415,13,30,422,6.19,874499126,874499126
0.646790683,3.894290209,-0.136619717,3,31,943,3.95,874499129,874499129
0.724318147,4.761225224,0.196209088,6,2,865,4.82,874499140,874499140
-3.051952839,28.94021225,1.694752455,26,3,35398,29.15,874499143,874499143
0.979508162,6.101634502,0.500620127,17,4,912,6.2,874499146,874499146
-1.892668724,18.50447464,2.278117657,3,5,35416,18.74,874499149,874499149
0.840538859,5.195388794,0.961212575,13,6,919,5.35,874499152,874499152
-1.087343454,9.801977158,2.642542362,6,7,35367,10.21,874499155,874499155
-2.515235424,22.45921516,0.131349251,4,8,35361,22.6,874499158,874499158
-0.044963695,2.259552717,0,27,9,35886,2.26,874499161,874499161
0.451527864,6.163366795,-0.037848309,9,10,419,6.18,874499164,874499164
0.660730362,3.995476246,-0.045881193,6,11,939,4.05,874499167,874499167
-2.517987013,23.10334969,0.676354945,6,12,35378,23.25,874499170,874499170
-0.038189918,2.279079437,0.052327845,22,13,35904,2.28,874499173,874499173
0.462545753,6.151661396,0.109608643,15,14,430,6.17,874499176,874499176
0.653544247,3.905426264,0.04609869,4,15,950,3.96,874499179,874499179
-0.507840753,4.492110252,-0.289727658,2,20,35355,4.53,874499146,874499146
-0.04778897,2.24401021,-0.156952068,3,21,35878,2.25,874499149,874499149
0.414226711,2.537863255,-0.209920332,2,23,927,2.58,874499155,874499155
-2.415825844,21.33585358,-0.87479943,6,24,35354,21.49,874499158,874499158
-0.045709282,2.297020435,-0.107739352,7,25,35886,2.3,874499161,874499161
0.439057529,6.065784454,-0.318725973,15,26,414,6.09,874499164,874499164
0.651510894,4.000427246,-0.236044422,3,27,925,4.06,874499167,874499167
-2.471688986,23.01412582,-0.4040232,5,28,35387,23.15,874499170,874499170
-0.034546807,2.249125719,-0.052342065,3,29,35912,2.25,874499173,874499173
0.474689811,6.16914463,-0.180070415,12,30,440,6.19,874499176,874499176
0.659021735,3.892239094,-0.136619717,3,31,961,3.95,874499179,874499179
0.262259781,1.527859688,-0.174540892,1,1,974,1.56,874499187,874499187
0.759211242,4.887279034,0.201501027,10,2,883,4.95,874499190,874499190
-2.961019754,28.94965744,1.694752455,28,3,35416,29.15,874499193,874499193
-1.831589222,18.48069763,2.274470806,4,5,35434,18.71,874499199,874499199
0.840840459,5.095662117,0.943245947,13,6,937,5.25,874499202,874499202
-1.055509567,9.795741081,2.639954329,6,7,35385,10.2,874499205,874499205
-2.52146697,23.17282867,0.13547571,6,8,35379,23.31,874499208,874499208
-0.03786489,2.259682894,0,27,9,35904,2.26,874499211,874499211
0.471650362,6.171888828,-0.037909552,9,10,437,6.19,874499214,874499214
0.671616852,3.983520508,-0.045767907,4,11,957,4.04,874499217,874499217
-3.050168276,28.82680702,0.843625486,10,12,35396,29,874499220,874499220
-0.03075761,2.259195328,0.05186883,22,13,35922,2.26,874499223,874499223
0.481869429,6.150177956,0.109608643,15,14,448,6.17,874499226,874499226
0.662447572,3.883640051,0.045865867,3,15,968,3.94,874499229,874499229
-0.489366263,4.454004288,-0.287169367,2,20,35373,4.49,874499196,874499196
-0.040557921,2.234175444,-0.1562545,3,21,35896,2.24,874499199,874499199
0.222324818,2.943084717,-0.224553972,4,22,432,2.96,874499202,874499202
0.415651888,2.4972229,-0.206665754,2,23,945,2.54,874499205,874499205
-2.425293207,22.03855896,-0.903294504,6,24,35372,22.19,874499208,874499208
-0.038492765,2.297152758,-0.107739352,7,25,35904,2.3,874499211,874499211
0.458111554,6.064375401,-0.318725973,15,26,432,6.09,874499214,874499214
0.660804093,3.97866416,-0.234881639,3,27,943,4.04,874499217,874499217
-0.02760295,2.259219885,-0.052574694,3,29,35930,2.26,874499223,874499223
0.49486655,6.177586555,-0.180361316,12,30,458,6.2,874499226,874499226
0.669546962,3.880300999,-0.136273846,3,31,979,3.94,874499229,874499229
0.265081674,1.517285943,-0.173422039,2,1,991,1.55,874499237,874499237
0.773708761,4.885004997,0.201501027,10,2,900,4.95,874499240,874499240
-2.874125004,28.94838142,1.694171071,30,3,35433,29.14,874499243,874499243
0.867527902,5.20086956,0.427142024,14,4,947,5.29,874499246,874499246
-1.778647184,18.50581169,2.276902199,4,5,35451,18.73,874499249,874499249
0.824978411,4.908821583,0.909109414,17,6,954,5.06,874499252,874499252
-1.026440382,9.798830032,2.639954329,6,7,35402,10.2,874499255,874499255
-3.054564714,28.8683567,0.168719858,12,8,35396,29.03,874499258,874499258
-0.030884368,2.239787102,0,28,9,35921,2.24,874499261,874499261
0.489960611,6.170462132,-0.037909552,9,10,454,6.19,874499264,874499264
0.681741536,3.97165513,-0.045654621,3,11,974,4.03,874499267,874499267
-2.970757723,28.89538956,0.845370948,22,12,35413,29.06,874499270,874499270
-0.024160752,2.26927352,0.052098338,22,13,35939,2.27,874499273,874499273
0.500115216,6.148721218,0.109608643,15,14,465,6.17,874499276,874499276
0.6739676,3.881657362,0.045865867,3,15,985,3.94,874499279,874499279
-2.960754633,28.74877167,-2.735495329,5,19,35412,29.03,874499243,874499243
-0.478269756,4.475282669,-0.288448513,2,20,35390,4.51,874499246,874499246
-0.033928819,2.234285831,-0.1562545,3,21,35913,2.24,874499249,874499249
